category,name,region,type,road_space_lab_use,license_or_access,status,url,doi_or_citation
research,Intelligent Agent Model,Europe/India,paper,"General 2-D directed-flow/mixed-traffic comparison",arXiv,priority,https://arxiv.org/abs/2310.16816,arXiv:2310.16816
research,Lane-free Artificial-Fluid Concept / TrafficFluid,Europe,paper+program,"Idealized automated lane-free counterfactual: shows what size advantages look like when human/lane constraints are deliberately removed",Open paper/project information; check each artifact,benchmark,https://www.trafficfluid.tuc.gr/en/home,10.1109/JPROC.2020.3042681
research,Rajkot road space consumption,India,paper,"Existing space-time/person-efficiency framework to reproduce and stress-test",CC BY-NC-ND 4.0 for article,priority,https://doi.org/10.5198/jtlu.2020.1526,10.5198/jtlu.2020.1526
research,Dynamic Motorcycle Unit and Mean Stream Speed,Vietnam/Japan,paper,"Effective-space motorcycle benchmark beyond static rectangle",Free access J-STAGE,priority,https://www.jstage.jst.go.jp/article/easts/7/0/7_0_2439/_article/-char/en,10.11175/easts.7.2439
research,Motorcycle equivalent units on Hanoi urban roads,Vietnam/Japan,paper,"Vehicle capacity/effective-space evidence in motorcycle-dominated flow",Publisher access,priority,https://ascelibrary.org/doi/abs/10.1061/%28ASCE%29TE.1943-5436.0000382,10.1061/(ASCE)TE.1943-5436.0000382
research,Ride-hailing congestion evidence from Indian cities,India,paper,"Natural experiment for ride-hailing/deadheading/productivity hypothesis",Publisher access,priority,https://pubsonline.informs.org/doi/10.1287/msom.2022.1158,10.1287/msom.2022.1158
research,Reducing ridesourcing empty vehicle travel,USA/China,paper,"Quantifies and models deadheading as operational traffic demand rather than treating taxi status as a vehicle-class property",Publisher access,reference,https://www.sciencedirect.com/science/article/abs/pii/S0968090X20307312,Transportation Research Part C
research,FHWA SSAM methodology,USA,safety method,"TTC/PET/deceleration/conflict baseline",US government / software-specific terms,priority,https://highways.dot.gov/turner-fairbank-highway-research-center/software/ssam,FHWA-HRT-17-027
dataset,SPT Chennai,India,trajectory dataset,"Primary disordered mixed-traffic 2-D benchmark",VERIFY current terms before download,priority,https://www.chennaitrafficdata.com/,10.1016/j.trc.2025.105431
dataset,pNEUMA,Europe,trajectory dataset,"Dense urban motorcycles+taxis cross-country benchmark",VERIFY exact version; official pages have shown differing CC terms,priority,https://open-traffic.epfl.ch/,pNEUMA
code,pNEUMA/open-traffic tooling,Europe,code/examples,"Trajectory parsing/visualisation ideas",VERIFY per repo,review,https://open-traffic.epfl.ch/,pNEUMA
dataset,NGSIM,USA,trajectory dataset,"Lane-disciplined control",Prefer authoritative USDOT/FHWA source,priority,https://ops.fhwa.dot.gov/trafficanalysistools/ngsim.htm,NGSIM
dataset,inD,Germany,trajectory dataset,"Drone intersection control with multiple road-user types",Research/non-commercial terms; verify,review,https://levelxdata.com/ind-dataset/,inD
dataset,highD,Germany,trajectory dataset,"Highway lane-disciplined control",Research/non-commercial terms; verify,review,https://levelxdata.com/highd-dataset/,highD
dataset,rounD,Germany,trajectory dataset,"Roundabout interactions and cross-class trajectory control",Free non-commercial research access; commercial rights separate,review,https://levelxdata.com/round-dataset/,rounD
dataset,INTERACTION,USA/China/Germany/Bulgaria,trajectory dataset,"Adversarial/cooperative multi-agent behaviour and cross-driving-culture validation",Dataset non-commercial by default; commercial contact required,review,https://www.interaction-dataset.com/,INTERACTION Dataset
dataset,CitySim,USA/Asia,trajectory+safety dataset,"Rotated boxes and safety-critical cut-in/merge/diverge events; useful for 2-D conflict validation",Dataset free for non-commercial use; repo code Apache-2.0; do not conflate licenses,review,https://github.com/UCF-SST-Lab/UCF-SST-CitySim1-Dataset,10.1177/03611981231185768
dataset,MOTOR / Motorized Two-Wheeler Rider,India,behaviour dataset,"Two-wheeler manoeuvre/weaving classifier research",VERIFY dataset terms,review,https://varuniiith.github.io/MOTOR-Dataset/,ICRA 2026
dataset,IDD / Indian Driving Dataset,India,perception dataset,"Raw-video perception training/validation if CV pipeline is added",VERIFY exact dataset terms,review,https://idd.insaan.iiit.ac.in/,IDD
dataset,IITM-HeTra,India,Kaggle dataset,"Heterogeneous vehicle detection incl. autos/two-wheelers",Kaggle card states GPL-2.0; verify dataset/provenance fit,review,https://www.kaggle.com/datasets/deepak242424/iitmhetra,IIT Madras / RBC-DSAI
dataset,SIDDI Indian Road Traffic Dataset,India,video/images+driver dataset,"Rural/semi-urban Indian road scenes; bad roads and driver focus",Institution says freely available; verify exact reuse terms,review,https://iiits.ac.in/research/research-groups/edge-intelligence-and-distributed-systems-eids-lab/,IIIT Sri City
software,Eclipse SUMO,Global,simulator,"Microscopic/intermodal simulation; calibratable sublane model supports parallel two-wheelers lateral dynamics pushiness and dynamic gaps",EPL-2.0 with secondary licensing terms; verify integration,priority,https://github.com/eclipse-sumo/sumo,SUMO
software,TrafficFluid-Sim,Europe,lane-free simulator,"SUMO extension for fully 2-D automated lane-free counterfactuals; useful upper-bound/ideal-control benchmark rather than human-traffic model",EPL-2.0; project says research use,benchmark,https://github.com/trafficfluid-dssl/trafficfluid-sim,TrafficFluid-Sim 2025 manual
software,UXsim,Japan/global,network simulator,"Small transparent MIT Python macro/mesoscopic network simulator; useful for bottleneck/topology and deadheading scenarios",MIT,priority,https://github.com/toruseo/UXsim,10.21105/joss.07617
software,CityFlow,Global,simulator,"Fast city-scale microscopic network/traffic-signal baseline; useful for topology experiments but not a native disordered-traffic model",Apache-2.0,review,https://github.com/cityflow-project/CityFlow,WWW 2019 demo
software,Tactics2D,China/global,2-D simulator+dataset parsers,"Reusable parsers for major trajectory datasets plus customizable participant physics and 2-D scenarios",GPL-3.0,review,https://github.com/WoodOxen/Tactics2D,IEEE Transactions on Intelligent Vehicles 2024
software,FHWA SSAM 3.0,USA,safety software,"Trajectory conflict benchmark; source currently linked by FHWA",FHWA software license agreement,priority,https://highways.dot.gov/turner-fairbank-highway-research-center/software/ssam,SSAM 3.0
code,INTERACTION Dataset Python Scripts,International,trajectory tooling,"Existing parsers/visualisation for INTERACTION; do not rewrite when cross-validation starts",BSD-3-Clause,review,https://github.com/interaction-dataset/interaction-dataset,INTERACTION Dataset
code,SSMsOnPlane,International,Python safety toolkit,"Reuse vectorised TTC/DRAC/MTTC/PSD and 2-D safety metrics instead of rewriting them",MIT,priority,https://github.com/Yiru-Jiao/SSMsOnPlane,2-D surrogate safety measures
code,Motion Prediction for Surrogate Safety,Canada,GitHub research code,"Reproducible lateral-interaction motion prediction and TTC/pPET research",MIT,benchmark,https://github.com/nsaunier/motion-prediction,TRB 2013 research code
code,PedPy,Europe,trajectory analytics,"Useful reference implementation for density/speed/flow measurement areas and Voronoi-style trajectory analysis",VERIFY current repo license,review,https://github.com/PedestrianDynamics/PedPy,PedestrianDynamics/PedPy
research,Heavy-vehicle PCE during queue discharge,Canada/North America,paper,"Shows even HCM PCEs can differ materially by observed site/regime",Publisher access,reference,https://www.sciencedirect.com/science/article/pii/S0965856401000325,Transportation Research Part A 36 (2002)
